provider,entity_kind,source_id,canonical_id
hoyolab,character,10000005,aether
hoyolab,character,10000006,lisa
hoyolab,character,10000014,barbara
hoyolab,character,10000015,kaeya
hoyolab,character,10000016,diluc
hoyolab,character,10000020,razor
hoyolab,character,10000021,amber
hoyolab,character,10000023,xiangling
hoyolab,character,10000024,beidou
hoyolab,character,10000025,xingqiu
hoyolab,character,10000026,xiao
hoyolab,character,10000027,ningguang
hoyolab,character,10000031,fischl
hoyolab,character,10000032,bennett
hoyolab,character,10000034,noelle
hoyolab,character,10000035,qiqi
hoyolab,character,10000036,chongyun
hoyolab,character,10000037,ganyu
hoyolab,character,10000038,albedo
hoyolab,character,10000039,diona
hoyolab,character,10000042,keqing
hoyolab,character,10000043,sucrose
hoyolab,character,10000044,xinyan
hoyolab,character,10000050,thoma
hoyolab,character,10000056,kujousara
hoyolab,character,10000067,collei
hoyolab,character,10000069,tighnari
hoyolab,character,10000079,dehya
hoyolab,character,10000080,mika
hoyolab,character,10000083,lynette
hoyolab,character,10000088,charlotte
hoyolab,character,10000096,arlecchino
hoyolab,character,10000097,sethos
hoyolab,character,10000100,kachina
hoyolab,character,10000105,ororon
hoyolab,character,10000110,iansan
hoyolab,character,10000113,ifa
hoyolab,character,10000117,manekin
hoyolab,character,10000121,aino
hoyolab,character,10000124,jahoda
hoyolab,character,10000125,columbina
